date,trend1,trend2,trend3
10-01-2021,ตรวจหวย,,
10-02-2021,พบแล้ว! ร่างคนขับเรือล่มหน้าวัดพนัญเชิง ลอยมาไกลกว่า 90 กิโลเมตร,ได้แล้ว 30 คนสุดท้าย ว่าที่ “มิสยูนิเวิร์สไทยแลนด์ 2021,
10-03-2021,ยุทธการฮูแตยือลอ,,
10-04-2021,Kick off สร้างเกราะป้องกันด้วยวัคซีน เด็กปลอดภัย เรียนอุ่นใจ ต้อนรับเปิดเทอม,วอลเลย์บอลสโมสรหญิง เอสโคล่า ชิงชนะเลิศแห่งเอเชีย,
10-05-2021,Kick off สร้างเกราะป้องกันด้วยวัคซีน เด็กปลอดภัย เรียนอุ่นใจ ต้อนรับเปิดเทอม,,
10-06-2021,ไฟเซอร์นักเรียน,ณวัฒน์ อิสรไกรศีล ประกาศความพร้อมจัดงานประกวด Miss Grand International 2021,
10-07-2021,ก้อย-ตูน,ไฟเซอร์นักเรียน,"สภ.นครศรีธรรมราช เตือนวัยรุ่น ด่า-ปาไข่-เผารูป ""นายกฯ"" ผิด ป อาญา"
10-08-2021,“ตู่ นันทิดา - เอ๋ ชนม์สวัสดิ์” รับอุปถัมภ์ “น้องกระปุก - น้องออมสิน”,‘บิ๊กป้อม’ ตรวจฉีดวัคซีนเด็กสระแก้ว รับเปิดเทอม 2 ปลอดภัย,กรมอุตุฯ ประกาศฉบับ 7 ‘ไลออนร็อก’ ทวีกำลังแรงขึ้นเป็นพายุโซนร้อน
10-09-2021,"""เฟมินิสต์ปลดแอก"" เคลื่อนขบวน ""ม็อบเปลือย"" ถึงอนุสาวรีย์ประชาธิปไตยแล้ว",พายุ “ไลออนร็อก”,
10-10-2021,FlashSale1010,พายุ “ไลออนร็อก”,
10-11-2021,พายุ “ไลออนร็อก” อ่อนกำลังลงแล้ว แต่ภาคอีสานยังต้องเฝ้าระวังใกล้ชิด,Squid Game,
10-12-2021,กรมอุตุฯ ออกประกาศเตือนพายุ ‘คมปาซุ’ ทำ ‘อีสาน’ ฝนตกหนักถึงหนักมาก,"เปิดใจ ""งูเห่า"" เพื่อไทย ""ศรัณย์วุฒิ"" ปิดประตู พปชร. ""พรพิมล"" รับ ยังไม่ตัดสินใจ",13ตุลาพระราชาในดวงใจ
10-13-2021,13ตุลาพระราชาในดวงใจ,พายุคมปาซุ,
10-14-2021,14 ตุลาคม 2516,"พายุ ""คมปาซุ"" แผลงฤทธิ์ ฝนตกถล่มตราด หวั่นน้ำท่วมซ้ำ",หนุ่มสุดทนโดนกลุ่มวัยรุ่นตามหยามถึงบ้านคว้ามีดลุยเดี่ยวไล่แทงดับ 2
10-15-2021,พายุคมปาซุ,Squid Game,หนุ่มสุดทนโดนกลุ่มวัยรุ่นตามหยามถึงบ้านคว้ามีดลุยเดี่ยวไล่แทงดับ 2
10-16-2021,ตรวจหวย,พรศักดิ์ ส่องแสง หมอลำสาวจันทร์กั้งโกบ หัวใจวายเสียชีวิต,
10-17-2021,อ๊อด คีรีบูน,,
